NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
0,2023-07-20_13:12:18,23.5,72.8,59.1,62.9,64,701,0,0,0,0,8.2,0,0,0,268,0,0,0,0,0
1,2023-07-20_13:13:18,23.5,72.4,57.9,60.9,61.1,697,0,0,0,0,41.3,0,0,0,271,0,0,0,0,0
2,2023-07-20_13:14:19,23.4,70.1,54,56.7,56.7,686,0,0,0,0,125.3,0,0,0,279,0,0,0,0,0
3,2023-07-20_13:15:19,23.3,70.5,54.4,57,57.1,692,0,0,0,0,254.7,0,0,0,284,0,0,0,0,0
4,2023-07-20_13:16:19,23.2,71.1,54.6,57.4,57.6,712,0,0,0,0,272.3,0,0,0,289,0,0,0,0,0
5,2023-07-20_13:17:19,23.2,69.7,52.9,55.5,55.5,733,0,0,0,0,272.4,0,0,0,293,0,0,0,0,0
6,2023-07-20_13:18:19,23.1,70,51.6,54.1,54.1,749,0,0,0,0,361.3,0,0,0,297,0,0,0,0,0
7,2023-07-20_13:19:20,23.1,69.1,52.3,54.9,54.9,762,0,0,0,0,307.8,0,0,0,305,0,0,0,0,0
8,2023-07-20_13:20:20,23.1,70.3,50.4,52.8,52.8,771,0,0,0,0,370.3,0,0,0,308,0,0,0,0,0
9,2023-07-20_13:21:20,23.1,67.8,48.2,50.7,50.8,792,0,0,0,0,298.9,0,0,0,312,0,0,0,0,0
10,2023-07-20_13:22:20,23.1,68.7,47.8,50.3,50.4,816,0,0,0,0,316.6,0,0,0,323,0,0,0,0,0
11,2023-07-20_13:23:20,23.1,66.5,49.6,52,52,819,0,0,0,0,316.6,0,0,0,326,0,0,0,0,0
12,2023-07-20_13:24:21,23.2,66.3,50.8,53.3,53.3,818,0,0,0,0,307.7,0,0,0,332,0,0,0,0,0
13,2023-07-20_13:25:21,23.3,66.8,51.2,53.7,53.7,821,0,0,0,0,370.2,0,0,0,345,0,0,0,0,0
14,2023-07-20_13:26:21,23.3,65.6,48.1,50.4,50.4,839,0,0,0,0,334.3,0,0,0,339,0,0,0,0,0
15,2023-07-20_13:27:21,23.3,66.1,49.7,52.2,52.2,843,0,0,0,0,361.1,0,0,0,363,0,0,0,0,0
16,2023-07-20_13:28:21,23.4,63.6,46.8,49.1,49.1,1007,0,0,0,0,334.2,0,0,0,350,0,0,0,0,0
17,2023-07-20_13:29:22,23.2,60.7,44.3,46.5,46.5,3644,0,0,0,0,325.5,0,0,0,351,0,0,0,0,0
18,2023-07-20_13:30:22,17.8,59.5,43.6,45.8,45.8,5000,0,0,0,0,322.3,0,0,0,356,0,0,0,0,0
19,2023-07-20_13:31:22,23,61.5,44.6,46.8,46.8,5000,0,0,0,0,352.5,0,0,0,358,0,0,0,0,0
20,2023-07-20_13:32:22,23.1,62.5,46.7,48.9,48.9,5000,0,0,0,0,406.6,0,0,0,363,0,0,0,0,0
